zip,count
21222,19
21157,10
20905,8
21220,6
20674,3
20692,3
21158,3
21219,3
21237,3
20653,2
20706,2
21074,2
21221,2
21619,2
21791,2
20742,1
21085,1
21218,1
21234,1
21782,1
