zip,reports_per_capita
21601,0.4132973944294699
20646,0.4410908385093168
21801,0.2766193144793432
21502,0.16789935551380533
21921,0.15582791954099973
20762,2.0210587891196257
21613,0.37426503844414294
20817,0.16063312960351042
21740,0.0856291296737262
20619,0.40093627302929624
20653,0.19410876132930516
21784,0.13339129017359885
21901,0.2516769519720955
20650,0.30568273633180715
21702,0.09311569122211553
21226,0.6328502415458938
21701,0.09153545755291895
21666,0.260591061289853
20636,0.34065828615296034
20755,0.3119168221807518
20640,0.3049847968303695
21042,0.07263922518159807
21043,0.06229148190379661
20659,0.12213422259274698
21804,0.07519576829331535
21122,0.04329216493498007
NA,NA
21078,0.12753036437246962
20678,0.20217478856222312
21157,0.06228425634098755
20742,0.5754536771728749
20657,0.11753183153770813
21811,0.09798652168520279
20723,0.06649312432799502
20794,0.12132223654905638
21629,0.207020702070207
20670,1.4059269469331495
21842,0.1852189781021898
21875,0.2864435621100397
20664,0.6041478809738503
21788,0.17330574236937402
21771,0.06172256337584632
21158,0.08775482651545835
20878,0.02878831497446931
21638,0.3570731707317073
21085,0.11009174311926606
21074,0.11956740780546786
20708,0.06419191548675812
21774,0.12041522491349481
21853,0.16460513796384396
21619,0.2983521248915872
20814,0.05592049856830049
21075,0.04673949769118144
21550,0.1172316384180791
21787,0.1551836963634664
20732,0.15794007849143296
20601,0.06133133881824981
21903,0.2898550724637681
21617,0.15481986368062317
20715,0.058407738095238096
21673,0.5460869565217391
20622,0.2447960033305579
20772,0.027275634393634434
20705,0.05158701726732106
21532,0.10846480582524272
21783,0.14398039415909322
21643,0.2625656414103526
21915,0.5007204610951008
21742,0.04007019596373208
21230,0.04000588321812031
20607,0.1177845711203021
21401,0.03315028974871574
21754,0.18986417409084272
21826,0.23626373626373626
21224,0.02775970505313381
21403,0.03919767263818711
21904,0.20043845912934544
20781,0.09505409582689335
21220,0.02930790112186802
21240,Inf
21658,0.3289831430125068
21758,0.27166591827570724
20854,0.023951372675307947
